Assigning lat-longs to AA/CREST biological sample data,,,,,,,,,,,,,,
issue:  many locations used in logs and by observers are not listed in CREST and so don't have any ability to geo-reference.   The yellow is the proposed work to identify lat-longs for each location used.,,,,,,,,,,,,,,
there were about 780 such location names.   Cursory review identified suitable locations for about 300.   480 location names remain which need some lat-longs.,,,,,,,,,,,,,,
the task is to fill in the 480 blank or #NA rows in columns K-O.   Or at least as many as possible.   Some will not be possible. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,2,4,3,5,6,7,8,9,10,4,11,12,13,
AA Biodata Locations,,,,,CREST names (#N/A means no such name in CREST),,,,"NEW AA BIODATA LOCATIONS WITH LAT,LONG",,,,,
Key,Location Name,PFMA,Creel subarea,Count,lookup to CREST name,CREST sub-area,Long,Lat,new name,new PFMA,new creel subarea,Long,Lat,
10.Cape Caution,Cape Caution,10,10A,13,#N/A,#N/A,#N/A,#N/A,Cape Caution North,10,10B,-127.795372,51.16944162,
10.Above Cape Caution,Above Cape Caution,10,10B,4,#N/A,#N/A,#N/A,#N/A,Cape Caution North,10,10B,-127.795372,51.16944162,
10.Cape Caution,Cape Caution,10,10B,38,#N/A,#N/A,#N/A,#N/A,Cape Caution North,10,10B,-127.795372,51.16944162,
10.Cape Caution North,Cape Caution North,10,10B,15,Cape Caution North,10B,-127.795372,51.16944162,Cape Caution North,10,10B,-127.795372,51.16944162,
10.Hoop Reef,Hoop Reef,10,10B,15,Hoop Reef,10B,-127.795605,51.215418,Hoop Reef,10,10B,-127.795605,51.215418,
10.Neck Ness,Neck Ness,10,10B,14,Neck Ness,10B,-127.8036118,51.19655767,Neck Ness,10,10B,-127.8036118,51.19655767,
11.Cape Sutil,Cape Sutil,11,11A,1257,Cape Sutil,11A,-128.047942,50.885933,Cape Sutil,11,11A,-128.047942,50.885933,
11.Mexicana,Mexicana,11,11A,4,#N/A,#N/A,#N/A,#N/A,Mexicana Point,11,11A,-128.0089395,50.91643176,
11.Mexicana Point,Mexicana Point,11,11A,51,Mexicana Point,11A,-128.0089395,50.91643176,Mexicana Point,11,11A,-128.0089395,50.91643176,
